Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year
Grass,3rd Round,Radwanska A.,Dellacqua C.,13,61,3020,920,2015
Grass,4th Round,Vandeweghe C.,Safarova L.,47,6,1070,4055,2015
Grass,Quarterfinals,Sharapova M.,Vandeweghe C.,4,47,5950,1070,2015
Clay,1st Round,Barthel M.,Bertens K.,52,117,995,505,2015
Clay,1st Round,Stosur S.,Glushko J.,23,151,2020,326,2015
Clay,1st Round,Peterson R.,Minella M.,164,231,310,200,2015
Clay,2nd Round,Putintseva Y.,Lim A.,74,253,780,170,2015
Clay,Quarterfinals,Arruabarrena L.,Cepelova J.,80,98,736,613,2015
Clay,Semifinals,Larsson J.,Putintseva Y.,72,74,794,780,2015
Clay,1st Round,Tig P.M.,Soler Espinosa S..,170,101,301,595,2015
Clay,2nd Round,Mitu A.,Cirstea S.,78,165,758,309,2015
Clay,1st Round,Zanevska M.,Bogdan A.,133,199,414,245,2015
Clay,1st Round,Hercog P.,Babos T.,78,82,765,726,2015
Clay,1st Round,Hogenkamp R.,Martic P.,121,139,478,375,2015
Clay,1st Round,Schmiedlova A.,Mayr P.,44,205,1161,238,2015
Clay,2nd Round,Kovinic D.,Hogenkamp R.,86,121,708,478,2015
Clay,Semifinals,Stosur S.,Schmiedlova A.,23,44,2020,1161,2015
Hard,1st Round,Cornet A.,Wickmayer Y.,28,93,1675,645,2015
Hard,1st Round,Flipkens K.,Ostapenko J.,101,131,591,425,2015
Hard,2nd Round,Tsurenko L.,Hantuchova D.,71,65,811,875,2015
Hard,Quarterfinals,Radwanska U.,Pironkova T.,99,42,600,1195,2015
Hard,1st Round,Hlavackova A.,Jovanovski B.,160,67,317,846,2015
Hard,1st Round,Pavlyuchenkova A.,Kulichkova E.,41,103,1236,570,2015
Hard,1st Round,Vekic D.,Schiavone F.,134,85,407,720,2015
Hard,1st Round,Tig P.M.,Ianchuk O.,158,267,323,157,2015
Hard,1st Round,Kontaveit A.,Eguchi M.,175,148,289,343,2015
Hard,1st Round,Flipkens K.,Buyukakcay C.,101,146,591,348,2015
Hard,2nd Round,Pavlyuchenkova A.,Bondarenko K.,41,119,1236,491,2015
Hard,1st Round,Tomljanovic A.,Pous-T. L.,69,178,815,280,2015
Hard,1st Round,Siegemund L.,Melnikova M.,130,170,425,296,2015
Hard,Quarterfinals,Pereira T.,Siegemund L.,80,130,755,425,2015
Hard,1st Round,Keys M.,Krunic A.,18,64,2280,889,2015
Hard,2nd Round,Riske A.,Suarez Navarro C.,59,10,980,3285,2015
Hard,1st Round,Cornet A.,Mestach A.S.,27,102,1675,600,2015
Hard,1st Round,Bencic B.,Smitkova T.,22,99,2090,630,2015
Hard,1st Round,Kuznetsova S.,Marand S.,28,269,1647,156,2015
Hard,2nd Round,Pavlyuchenkova A.,Bencic B.,40,22,1286,2090,2015
Hard,Quarterfinals,Stosur S.,Niculescu M.,21,39,2245,1295,2015
Hard,The Final,Stephens S.,Pavlyuchenkova A.,35,40,1401,1286,2015
Hard,1st Round,Vinci R.,Knapp K.,53,35,1021,1405,2015
Hard,2nd Round,Bencic B.,Wozniacki C.,20,5,2090,4905,2015
Hard,2nd Round,Azarenka V.,Kvitova P.,21,4,2061,4995,2015
Hard,2nd Round,Radwanska A.,Goerges J.,14,60,2760,972,2015
Hard,The Final,Bencic B.,Halep S.,20,3,2090,5151,2015
Hard,1st Round,Stephens S.,Suarez Navarro C.,30,10,1517,3190,2015
Hard,2nd Round,Garcia C.,Rybarikova M.,36,79,1375,761,2015
Hard,Quarterfinals,Safarova L.,Cibulkova D.,6,58,3550,967,2015
Hard,Quarterfinals,Wozniacki C.,Garcia C.,4,36,4735,1375,2015
Hard,1st Round,Pegula J.,Van Uytvanck A.,260,55,173,1022,2015
Hard,1st Round,Bertens K.,Lucic M.,110,48,565,1136,2015
Hard,1st Round,Wang Q.,Sakkari M.,112,207,525,234,2015
Hard,1st Round,Halep S.,Erakovic M.,2,99,6130,635,2015
Hard,1st Round,Pennetta F.,Gajdosova J.,26,76,1747,778,2015
Hard,2nd Round,Kontaveit A.,Pavlyuchenkova A.,152,31,348,1550,2015
Hard,3rd Round,Kvitova P.,Schmiedlova A.,4,32,4995,1451,2015
Hard,3rd Round,Azarenka V.,Kerber A.,20,11,2271,3150,2015
Hard,3rd Round,Lepchenko V.,Barthel M.,46,53,1234,1035,2015
Hard,3rd Round,Lisicki S.,Strycova B.,24,42,1945,1290,2015
Hard,4th Round,Williams S.,Keys M.,1,19,12721,2275,2015
Hard,1st Round,Rodina E.,Vickery S.,89,133,669,412,2015
Hard,Semifinals,Ostapenko J.,Broady N.,101,157,596,327,2015
Hard,1st Round,Ozaki R.,Jovanovski B.,142,114,380,532,2015
Hard,1st Round,Falconi I.,Osaka N.,64,190,840,257,2015
Hard,1st Round,Zheng S.,Riske A.,70,50,816,1010,2015
Hard,1st Round,Hsieh S.W.,Hercog P.,113,59,533,900,2015
Hard,Quarterfinals,Allertova D.,Halep S.,74,2,778,6780,2015
Hard,1st Round,Siniakova K.,Falconi I.,69,70,823,800,2015
Hard,2nd Round,Kulichkova E.,Lepchenko V.,102,46,587,1165,2015
Hard,2nd Round,Begu I.,Hercog P.,29,60,1587,900,2015
Hard,Quarterfinals,Begu I.,Larsson J.,29,62,1587,889,2015
Hard,1st Round,Giorgi C.,Garcia C.,36,35,1445,1445,2015
Hard,1st Round,Radwanska A.,Vandeweghe C.,13,45,2820,1191,2015
Hard,2nd Round,Ivanovic A.,Giorgi C.,12,36,2971,1445,2015
Hard,1st Round,Witthoeft C.,Pliskova Kr.,58,119,956,494,2015
Hard,1st Round,Pavlyuchenkova A.,Kuznetsova S.,32,31,1491,1572,2015
Hard,1st Round,Ivanovic A.,Dulgheru A.,9,55,3070,976,2015
Hard,1st Round,Mladenovic K.,Tig P.M.,27,115,1755,531,2015
Hard,1st Round,Giorgi C.,Pironkova T.,33,44,1470,1195,2015
Hard,2nd Round,Suarez Navarro C.,Niculescu M.,10,47,3070,1115,2015
Hard,2nd Round,Halep S.,Pavlyuchenkova A.,2,32,6780,1491,2015
Hard,1st Round,Pennetta F.,Han X.,7,159,3253,330,2015
Hard,1st Round,Puig M.,Diyas Z.,106,45,579,1195,2015
Hard,1st Round,Cibulkova D.,Jankovic J.,40,24,1272,2175,2015
Hard,1st Round,Bencic B.,Brengle M.,13,37,3015,1301,2015
Hard,3rd Round,Errani S.,Petkovic A.,20,21,2410,2326,2015
Hard,1st Round,Garcia C.,Davis L.,35,86,1315,710,2015
Hard,1st Round,Stosur S.,Ozaki R.,28,130,1755,425,2015
Hard,1st Round,Cornet A.,Kozlova K.,43,163,1205,321,2015
Hard,1st Round,Brengle M.,Doi M.,42,94,1233,664,2015
Hard,1st Round,Voegele S.,Paszek T.,165,213,319,229,2015
Hard,Quarterfinals,Larsson J.,Brengle M.,59,42,949,1233,2015
Hard,1st Round,Rodina E.,Zheng S.,84,76,729,789,2015
Hard,1st Round,Kichenok L.,Pennetta F.,414,8,78,3372,2015
Hard,Quarterfinals,Jovanovski B.,Mladenovic K.,90,27,690,1760,2015
Hard,Semifinals,Radwanska A.,Pliskova Ka.,6,15,3515,2950,2015
Hard,1st Round,Flipkens K.,Brengle M.,98,40,652,1238,2015
Hard,2nd Round,Doi M.,Allertova D.,92,64,664,889,2015
Hard,1st Round,Mladenovic K.,Bogdan A.,27,149,1760,366,2015
Hard,Round Robin,Kerber A.,Kvitova P.,7,5,3400,3491,2015
Hard,Round Robin,Radwanska A.,Halep S.,6,2,3425,5790,2015
Hard,Round Robin,Sharapova M.,Pennetta F.,4,8,4322,3252,2015
Hard,Round Robin,Williams V.,Keys M.,11,19,3091,2495,2015
Hard,Round Robin,Jankovic J.,Errani S.,21,18,2345,2525,2015
Hard,Round Robin,Suarez Navarro C.,Petkovic A.,12,24,3030,2106,2015
Hard,The Final,Williams V.,Pliskova Ka.,11,13,3091,2955,2015
Hard,1st Round,Kasatkina D.,Williams V.,75,7,812,3790,2016
Hard,Quarterfinals,Stephens S.,Broady N.,30,122,1715,500,2016
Hard,Quarterfinals,Wozniacki C.,Dulgheru A.,17,69,2641,879,2016
Hard,1st Round,Pavlyuchenkova A.,Bacsinszky T.,28,12,1840,3133,2016
Hard,1st Round,Bencic B.,Errani S.,14,20,2900,2525,2016
Hard,2nd Round,Petkovic A.,Makarova E.,24,23,2185,2201,2016
Hard,Semifinals,Azarenka V.,Crawford S.,22,142,2276,399,2016
Hard,1st Round,Hsieh S.W.,Duan Y.Y.,93,118,677,527,2016
Hard,1st Round,Riske A.,Beck A.,97,58,652,976,2016
Hard,1st Round,Radwanska A.,Krunic A.,5,108,4500,592,2016
Hard,2nd Round,Friedsam A.L.,Begu I.,95,31,668,1630,2016
Hard,1st Round,Barthel M.,Doi M.,45,65,1135,922,2016
Hard,1st Round,Bouchard E.,Mattek-Sands B.,47,64,1123,922,2016
Hard,2nd Round,Bouchard E.,Van Uytvanck A.,47,44,1123,1149,2016
Hard,Quarterfinals,Cibulkova D.,Bertens K.,37,103,1246,618,2016
Hard,Semifinals,Bouchard E.,Cibulkova D.,47,37,1123,1246,2016
Hard,Semifinals,Cornet A.,Larsson J.,42,54,1180,981,2016
Hard,2nd Round,Errani S.,Jankovic J.,19,21,2525,2445,2016
Hard,1st Round,Rybarikova M.,Wickmayer Y.,75,41,798,1214,2016
Hard,1st Round,Mladenovic K.,Cibulkova D.,30,38,1725,1301,2016
Hard,1st Round,Kasatkina D.,Schmiedlova A.,69,29,849,1875,2016
Hard,1st Round,Bondarenko K.,Tomljanovic A.,92,67,708,875,2016
Hard,1st Round,Bouchard E.,Krunic A.,37,119,1302,515,2016
Hard,1st Round,Strycova B.,Garcia C.,48,34,1075,1420,2016
Hard,1st Round,Kerber A.,Doi M.,6,64,3710,922,2016
Hard,2nd Round,Sharapova M.,Sasnovich A.,5,105,4542,610,2016
Hard,2nd Round,Muguruza G.,Flipkens K.,3,80,5101,773,2016
Hard,2nd Round,Zhang S.,Cornet A.,133,33,423,1430,2016
Hard,2nd Round,Makarova E.,Maria T.,24,73,2300,824,2016
Hard,2nd Round,Pliskova Ka.,Goerges J.,12,45,3090,1160,2016
Hard,3rd Round,Friedsam A.L.,Vinci R.,82,15,770,2825,2016
Hard,3rd Round,Williams S.,Kasatkina D.,1,69,9945,849,2016
Hard,3rd Round,Beck A.,Siegemund L.,55,97,976,654,2016
Hard,4th Round,Konta J.,Makarova E.,47,24,1098,2300,2016
Hard,1st Round,Gasparyan M.,Jovanovski B.,43,86,1149,755,2016
Hard,1st Round,Kasatkina D.,Flipkens K.,63,69,898,833,2016
Hard,Semifinals,Bencic B.,Kasatkina D.,11,63,3260,898,2016
Hard,The Final,Vinci R.,Bencic B.,16,11,2885,3260,2016
Hard,1st Round,Minella M.,Osaka N.,173,112,300,581,2016
Hard,1st Round,Brengle M.,Makarova E.,60,31,960,1760,2016
Hard,1st Round,Strycova B.,Pironkova T.,47,93,1055,721,2016
Hard,2nd Round,Petkovic A.,Jankovic J.,28,20,1815,2505,2016
Hard,Quarterfinals,Svitolina E.,Vandeweghe C.,21,46,2405,1068,2016
Clay,1st Round,Martic P.,Pereira T.,162,43,339,1122,2016
Clay,Semifinals,Rogers S.,Cirstea S.,131,199,427,255,2016
Clay,1st Round,Glushko J.,Sanchez A.S.,147,317,385,125,2016
Clay,2nd Round,Lucic M.,Konta J.,68,26,855,1869,2016
Clay,2nd Round,Wickmayer Y.,Puig M.,52,58,1026,970,2016
Clay,Quarterfinals,Cibulkova D.,Larsson J.,66,59,881,963,2016
Hard,1st Round,Errani S.,Pironkova T.,17,103,2595,641,2016
Hard,1st Round,Babos T.,Brengle M.,48,54,1073,1005,2016
Hard,1st Round,Bacsinszky T.,Mattek-Sands B.,15,80,2894,790,2016
Hard,2nd Round,Vinci R.,Kasatkina D.,10,47,3325,1082,2016
Hard,2nd Round,Muguruza G.,Hibino N.,5,60,4642,962,2016
Hard,3rd Round,Suarez Navarro C.,Bacsinszky T.,11,15,3300,2894,2016
Hard,3rd Round,Muguruza G.,Babos T.,5,48,4642,1073,2016
Hard,1st Round,Ozaki R.,Kulichkova E.,133,87,431,753,2016
Hard,1st Round,Yang Z.,Zheng S.,176,63,299,980,2016
Hard,2nd Round,Wang Q.,Duan Y.Y.,99,121,661,497,2016
Hard,Quarterfinals,Svitolina E.,Kucova K.,19,139,2530,403,2016
Hard,Quarterfinals,Bouchard E.,Buyukakcay C.,52,128,1046,444,2016
Hard,1st Round,Van Uytvanck A.,Falconi I.,47,80,1124,800,2016
Hard,1st Round,Gibbs N.,Kovinic D.,104,50,644,1093,2016
Hard,2nd Round,Konta J.,Wickmayer Y.,27,48,1886,1123,2016
Hard,2nd Round,Garcia C.,Glushko J.,38,134,1305,424,2016
Hard,Quarterfinals,Kontaveit A.,Gibbs N.,91,104,733,644,2016
Hard,Semifinals,Flipkens K.,Kontaveit A.,73,91,838,733,2016
Hard,1st Round,Larsson J.,Maria T.,66,90,963,734,2016
Hard,1st Round,Mchale C.,Garcia C.,62,41,990,1235,2016
Hard,1st Round,Rybarikova M.,Robson L.,97,551,694,45,2016
Hard,1st Round,Beck A.,Mattek-Sands B.,43,88,1206,744,2016
Hard,1st Round,Puig M.,Lucic M.,67,71,940,860,2016
Hard,2nd Round,Vandeweghe C.,Kuznetsova S.,38,17,1271,2535,2016
Hard,2nd Round,Niculescu M.,Watson H.,34,53,1380,1041,2016
Hard,2nd Round,Rybarikova M.,Gavrilova D.,97,33,694,1430,2016
Hard,2nd Round,Bouchard E.,Stephens S.,42,22,1225,2215,2016
Hard,3rd Round,Strycova B.,Nara K.,37,89,1305,740,2016
Hard,Quarterfinals,Williams S.,Halep S.,1,5,9245,4745,2016
Hard,The Final,Azarenka V.,Williams S.,15,1,2660,9245,2016
Hard,1st Round,Zhang S.,Zhuk S.,68,775,968,20,2016
Hard,1st Round,Brengle M.,Giorgi C.,60,43,1005,1200,2016
Hard,2nd Round,Williams S.,Mchale C.,1,56,9505,1020,2016
Hard,2nd Round,Babos T.,Pliskova Ka.,49,14,1120,2795,2016
Hard,2nd Round,Gibbs N.,Mladenovic K.,74,29,854,1780,2016
Hard,3rd Round,Williams S.,Diyas Z.,1,97,9505,715,2016
Hard,3rd Round,Niculescu M.,Vandeweghe C.,33,38,1410,1271,2016
Hard,Quarterfinals,Bacsinszky T.,Halep S.,20,5,2345,3960,2016
Clay,1st Round,Putintseva Y.,Nara K.,61,84,998,780,2016
Clay,2nd Round,Errani S.,Shvedova Y.,20,70,2420,914,2016
Clay,Quarterfinals,Vesnina E.,Siegemund L.,85,75,776,851,2016
Clay,Semifinals,Stephens S.,Kerber A.,25,2,1900,6025,2016
Clay,1st Round,Mitu A.,Oprandi R.,110,134,601,432,2016
Clay,1st Round,Flipkens K.,Vekic D.,59,92,1015,738,2016
Clay,1st Round,Broady N.,Knapp K.,78,72,812,898,2016
Clay,1st Round,Vickery S.,Lizarazo Y.,175,996,303,9,2016
Clay,2nd Round,Sadikovic A.,Peterson R.,168,134,317,433,2016
Clay,2nd Round,Soler-Espinosa S.,Tatishvili A.,170,115,314,559,2016
Clay,1st Round,Kozlova K.,Dulgheru A.,129,95,458,710,2016
Clay,1st Round,Vinci R.,Makarova E.,8,29,3595,1612,2016
Clay,2nd Round,Vinci R.,Goerges J.,8,57,3595,1015,2016
Clay,Quarterfinals,Kvitova P.,Muguruza G.,7,4,3763,4831,2016
Clay,Quarterfinals,Radwanska A.,Pliskova Ka.,2,18,5775,2590,2016
Clay,1st Round,Vondrousova M.,Dodin O.,339,148,112,378,2016
Clay,1st Round,Maria T.,Rodionova An.,107,391,639,90,2016
Clay,2nd Round,Babos T.,Robson L.,40,426,1265,79,2016
Clay,Quarterfinals,Bertens K.,Putintseva Y.,97,55,711,1073,2016
Clay,1st Round,Cornet A.,Badosa Gibert P.,48,239,1145,201,2016
Clay,1st Round,Gavrilova D.,Watson H.,39,56,1295,1041,2016
Clay,1st Round,Suarez Navarro C.,Babos T.,11,42,3160,1195,2016
Clay,1st Round,Muguruza G.,Schmiedlova A.,4,35,4847,1360,2016
Clay,2nd Round,Pavlyuchenkova A.,Giorgi C.,26,45,1840,1175,2016
Clay,3rd Round,Halep S.,Bacsinszky T.,7,15,3660,2955,2016
Clay,3rd Round,Tig P.M.,Keys M.,134,25,438,1906,2016
Clay,1st Round,Safarova L.,Schiavone F.,15,91,2843,741,2016
Clay,1st Round,Puig M.,Svitolina E.,57,17,1040,2475,2016
Clay,1st Round,Ostapenko J.,Mladenovic K.,39,28,1273,1625,2016
Clay,1st Round,Tsurenko L.,Goerges J.,42,62,1231,975,2016
Clay,2nd Round,Gavrilova D.,Halep S.,32,5,1455,4650,2016
Clay,2nd Round,Doi M.,Safarova L.,45,15,1178,2843,2016
Clay,3rd Round,Kuznetsova S.,Gavrilova D.,19,32,2450,1455,2016
Clay,3rd Round,Strycova B.,Bouchard E.,36,46,1385,1170,2016
Clay,1st Round,Lisicki S.,Arruabarrena L.,50,78,1122,828,2016
Clay,2nd Round,Beck A.,Gibbs N.,42,72,1243,889,2016
Clay,1st Round,Vesnina E.,Zheng S.,47,82,1159,805,2016
Clay,1st Round,Stephens S.,Vekic D.,21,96,2310,706,2016
Clay,2nd Round,Vesnina E.,Bondarenko K.,47,62,1159,973,2016
Clay,1st Round,Watson H.,Gibbs N.,56,72,1081,906,2016
Clay,1st Round,Bondarenko K.,Vinci R.,65,7,978,3405,2016
Clay,1st Round,Stosur S.,Doi M.,24,42,2050,1290,2016
Clay,1st Round,Chirico L.,Davis L.,78,113,830,589,2016
Clay,1st Round,Giorgi C.,Lim A.,44,156,1230,365,2016
Clay,1st Round,Ivanovic A.,Dodin O.,16,148,2560,383,2016
Clay,1st Round,Williams V.,Kontaveit A.,11,82,2886,800,2016
Clay,1st Round,Townsend T.,Hesse A.,172,157,311,363,2016
Clay,2nd Round,Wickmayer Y.,Makarova E.,54,29,1095,1552,2016
Clay,2nd Round,Strycova B.,Hercog P.,33,94,1520,730,2016
Clay,2nd Round,Stephens S.,Cepede Royg V.,22,161,2260,355,2016
Clay,2nd Round,Suarez Navarro C.,Wang Q.,14,74,2585,879,2016
Clay,3rd Round,Muguruza G.,Wickmayer Y.,4,54,5196,1095,2016
Clay,3rd Round,Suarez Navarro C.,Cibulkova D.,14,25,2585,1951,2016
Grass,1st Round,Golubic V.,Friedsam A.L.,113,52,572,1100,2016
Grass,2nd Round,Mladenovic K.,Vikhlyantseva N.,32,254,1550,188,2016
Grass,2nd Round,Vandeweghe C.,Hibino N.,43,69,1302,949,2016
Grass,2nd Round,Golubic V.,Ozaki R.,113,124,572,481,2016
Grass,The Final,Vandeweghe C.,Mladenovic K.,43,32,1302,1550,2016
Grass,1st Round,Hsieh S.W.,Broady N.,72,81,944,814,2016
Grass,2nd Round,Puig M.,Larcherde Brito M.,49,249,1220,192,2016
Grass,Semifinals,Riske A.,Zheng S.,89,86,787,790,2016
Grass,1st Round,Ostapenko J.,Pavlyuchenkova A.,38,23,1378,1960,2016
Grass,2nd Round,Ostapenko J.,Kvitova P.,38,11,1378,2768,2016
Grass,2nd Round,Kerber A.,Gavrilova D.,4,50,5620,1120,2016
Grass,Semifinals,Garcia C.,Flipkens K.,39,61,1365,1025,2016
Grass,1st Round,Wozniacki C.,Cornet A.,37,60,1386,1035,2016
Grass,1st Round,Makarova E.,Moore T.,39,229,1382,227,2016
Grass,2nd Round,Bondarenko K.,Kuznetsova S.,65,14,993,2755,2016
Grass,Semifinals,Cibulkova D.,Puig M.,21,43,2081,1300,2016
Grass,The Final,Cibulkova D.,Pliskova Ka.,21,17,2081,2335,2016
Grass,1st Round,Erakovic M.,Falconi I.,153,75,372,910,2016
Grass,1st Round,Bertens K.,Ostapenko J.,28,34,1729,1482,2016
Grass,1st Round,Babos T.,Swan K.,44,437,1260,72,2016
Grass,1st Round,Vandeweghe C.,Bondarenko K.,30,60,1652,1048,2016
Grass,2nd Round,Doi M.,Pliskova Ka.,49,17,1230,2540,2016
Grass,3rd Round,Safarova L.,Cepelova J.,29,124,1673,477,2016
Grass,3rd Round,Halep S.,Bertens K.,5,28,4372,1729,2016
Grass,3rd Round,Kuznetsova S.,Stephens S.,14,22,2730,1995,2016
Grass,3rd Round,Williams S.,Beck A.,1,43,8330,1293,2016
Grass,3rd Round,Makarova E.,Strycova B.,35,26,1481,1885,2016
Grass,Quarterfinals,Vesnina E.,Cibulkova D.,50,18,1197,2451,2016
Clay,1st Round,Shinikova I.,Kozlova K.,156,95,367,695,2016
Clay,Quarterfinals,Siegemund L.,Hercog P.,43,84,1283,770,2016
Clay,1st Round,Khromacheva I.,Hradecka L.,118,169,483,325,2016
Clay,2nd Round,Khromacheva I.,Goerges J.,118,75,483,885,2016
Clay,2nd Round,Witthoeft C.,Arruabarrena L.,100,85,658,768,2016
Clay,2nd Round,Beck A.,Sevastova A.,37,49,1455,1116,2016
Clay,The Final,Siegemund L.,Siniakova K.,40,92,1380,706,2016
Hard,2nd Round,Doi M.,Hibino N.,36,75,1460,879,2016
Hard,2nd Round,Williams V.,Linette M.,7,87,3656,746,2016
Hard,2nd Round,Cibulkova D.,Radwanska U.,12,156,2871,359,2016
Hard,Quarterfinals,Riske A.,Vandeweghe C.,78,35,857,1462,2016
Hard,1st Round,Stosur S.,Kudryavtseva A.,14,165,2640,332,2016
Hard,2nd Round,Pegula J.,Mchale C.,173,63,313,985,2016
Hard,2nd Round,Pliskova Ka.,Errani S.,17,25,2540,1930,2016
Hard,3rd Round,Kasatkina D.,Vinci R.,29,8,1661,3525,2016
Hard,1st Round,Osaka N.,Sanchez A.S.,88,330,751,121,2016
Hard,1st Round,Kichenok L.,Pereira T.,363,135,101,423,2016
Hard,1st Round,Puig M.,Pivovarova A.,37,191,1480,282,2016
Hard,2nd Round,Kichenok L.,Martincova T.,363,266,101,180,2016
Hard,1st Round,King V.,Sanders S.,106,279,587,154,2016
Hard,1st Round,Schiavone F.,Yang Z.,104,251,622,195,2016
Hard,1st Round,Nara K.,Mrdeza T.,92,287,712,144,2016
Hard,2nd Round,Zhang K.L.,Kato M.,111,225,547,236,2016
Hard,1st Round,Mchale C.,Zheng S.,59,62,985,970,2016
Hard,1st Round,Pironkova T.,Kasatkina D.,74,24,881,1773,2016
Hard,2nd Round,Pliskova Ka.,Ostapenko J.,17,39,2340,1407,2016
Hard,2nd Round,Radwanska A.,Petkovic A.,5,42,5250,1335,2016
Hard,1st Round,Bouchard E.,Beck A.,40,42,1395,1365,2016
Hard,1st Round,Flipkens K.,Bencic B.,68,26,915,1602,2016
Hard,2nd Round,Radwanska A.,Ostapenko J.,4,39,5340,1454,2016
Hard,2nd Round,Vinci R.,Konjuh A.,8,100,3465,641,2016
Hard,The Final,Radwanska A.,Svitolina E.,4,23,5340,1797,2016
Hard,1st Round,Petkovic A.,Kucova K.,43,78,1290,861,2016
Hard,1st Round,Konta J.,Mattek-Sands B.,14,109,2905,566,2016
Hard,1st Round,Wang Q.,Kasatkina D.,62,24,964,1773,2016
Hard,1st Round,Babos T.,Haas B.,34,141,1510,410,2016
Hard,1st Round,Bacsinszky T.,Diatchenko V.,15,677,2713,29,2016
Hard,1st Round,Vesnina E.,Kontaveit A.,20,90,2054,728,2016
Hard,1st Round,Suarez Navarro C.,Pereira T.,12,136,3100,423,2016
Hard,3rd Round,Pliskova Ka.,Pavlyuchenkova A.,11,18,3135,2195,2016
Hard,3rd Round,Williams V.,Siegemund L.,6,27,4005,1600,2016
Hard,Quarterfinals,Wozniacki C.,Sevastova A.,74,48,871,1098,2016
Hard,1st Round,Van Uytvanck A.,Kostova E.,112,130,566,449,2016
Hard,1st Round,Martincova T.,Krejcikova B.,233,265,216,174,2016
Hard,Quarterfinals,Martincova T.,Pegula J.,233,161,216,345,2016
Hard,Semifinals,Davis L.,Martincova T.,104,233,609,216,2016
Hard,The Final,Dodin O.,Davis L.,132,104,448,609,2016
Hard,2nd Round,Siniakova K.,Chirico L.,65,75,939,864,2016
Hard,2nd Round,Mchale C.,Peterson R.,53,124,1075,466,2016
Hard,Quarterfinals,Zhang S.,Lepchenko V.,49,84,1158,798,2016
Hard,Quarterfinals,Cepelova J.,Nara K.,115,81,540,828,2016
Hard,1st Round,Flipkens K.,Pliskova Kr.,58,97,1000,670,2016
Hard,2nd Round,Niculescu M.,Schmiedlova A.,55,100,1050,649,2016
Hard,Quarterfinals,Arruabarrena L.,Larsson J.,90,45,728,1230,2016
Hard,Quarterfinals,Zhang S.,Giorgi C.,40,77,1255,860,2016
Hard,1st Round,Pavlyuchenkova A.,Petkovic A.,17,44,2255,1230,2016
Hard,1st Round,Putintseva Y.,Keys M.,38,9,1390,3286,2016
Hard,2nd Round,Puig M.,Kvitova P.,33,16,1500,2390,2016
Hard,Quarterfinals,Radwanska A.,Puig M.,4,33,5815,1500,2016
Hard,1st Round,Ozaki R.,Kostova E.,126,134,505,449,2016
Hard,1st Round,Schiavone F.,Cirstea S.,102,85,652,775,2016
Hard,2nd Round,Pliskova Kr.,Nara K.,100,80,670,817,2016
Hard,The Final,Pliskova Kr.,Hibino N.,100,78,670,864,2016
Hard,1st Round,Wickmayer Y.,Rogers S.,59,65,1020,968,2016
Hard,1st Round,Siniakova K.,Babos T.,56,25,1089,1630,2016
Hard,1st Round,Begu I.,Kulichkova E.,26,135,1585,439,2016
Hard,1st Round,Kasatkina D.,Goerges J.,28,66,1563,967,2016
Hard,2nd Round,Radwanska A.,Makarova E.,4,37,5530,1352,2016
Hard,2nd Round,Wozniacki C.,Siniakova K.,22,56,1866,1089,2016
Hard,3rd Round,Kuznetsova S.,Williams V.,10,7,3250,3815,2016
Hard,3rd Round,Konta J.,Suarez Navarro C.,13,8,2865,3330,2016
Hard,1st Round,Gavrilova D.,Mchale C.,49,42,1160,1245,2016
Hard,2nd Round,Keys M.,Mladenovic K.,9,57,3417,1065,2016
Hard,2nd Round,Pliskova Ka.,Kasatkina D.,6,24,4340,1688,2016
Hard,3rd Round,Radwanska A.,Wozniacki C.,3,22,5535,1970,2016
Hard,3rd Round,Gavrilova D.,Garcia C.,49,25,1160,1675,2016
Hard,1st Round,Chirico L.,Lee Y.H.,60,281,1000,165,2016
Hard,1st Round,Krunic A.,Kumkhum L.,141,150,422,372,2016
Hard,1st Round,Allertova D.,Kasatkina D.,102,24,659,1740,2016
Hard,1st Round,Goerges J.,Haas B.,68,143,927,400,2016
Hard,1st Round,Kuznetsova S.,Parmentier P.,8,67,3540,930,2016
Hard,1st Round,Peng S.,Zhang S.,182,27,296,1585,2016
Hard,1st Round,Han X.,Xu Y.F.,115,442,542,75,2016
Hard,2nd Round,Puig M.,Arruabarrena L.,33,70,1485,923,2016
Hard,Quarterfinals,Kovinic D.,Puig M.,63,33,955,1485,2016
Hard,1st Round,Davis L.,Doi M.,85,30,759,1535,2016
Hard,2nd Round,Bertens K.,Schmiedlova A.,22,154,1827,371,2016
Hard,Quarterfinals,Niculescu M.,Wozniacki C.,51,17,1160,2220,2016
Hard,Quarterfinals,Davis L.,Petkovic A.,85,57,759,1110,2016
Hard,1st Round,Kasatkina D.,Bencic B.,24,43,1740,1239,2016
Hard,2nd Round,Gavrilova D.,Suarez Navarro C.,37,12,1415,3230,2016
Hard,Round Robin,Zhang S.,Bacsinszky T.,28,18,1585,2188,2016
Hard,Round Robin,Kvitova P.,Vinci R.,13,17,2840,2190,2016
Hard,2nd Round,Wozniacki C.,Lepchenko V.,19,89,2185,723,2017
Hard,2nd Round,Muguruza G.,Kasatkina D.,7,26,4236,1630,2017
Hard,Quarterfinals,Cornet A.,Cibulkova D.,41,5,1242,4875,2017
Hard,Quarterfinals,Muguruza G.,Kuznetsova S.,7,9,4236,4115,2017
